__offset_assign;assign;objective;_objective;_source
1;[0, 0, 22, 0, 0, 23, 42, 0, 7, 0, 21, 0, 0, 0, 0, 40, 0, 0, 45, 5, 0, 26, 0, 11, 45, 20, 39, 42, 0, 0, 0, 40, 28, 8, 0, 33, 10, 0, 0, 0, 0, 0, 30, 5, 47, 36, 46, 50, 25, 0, 0, 15, 7, 17, 1, 3, 2, 24, 12, 11];2422867;2422867.0;gibbs
1;[0, 0, 0, 0, 0, 0, 6, 30, 5, 0, 0, 0, 0, 0, 0, 45, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 45, 0, 0, 0, 0, 37, 40, 0, 0, 0, 0, 0, 0, 12, 5, 47, 1, 2, 17, 0, 0, 0, 33, 8, 25, 23, 22, 11, 20, 9, 42];1828958;1828958.0;gibbs
1;[5, 3, 45, 0, 0, 23, 11, 20, 28, 8, 7, 0, 15, 17, 0, 29, 37, 1, 18, 9, 0, 38, 0, 11, 18, 39, 24, 0, 0, 33, 13, 29, 0, 40, 31, 0, 10, 0, 2, 13, 4, 35, 12, 28, 47, 46, 36, 25, 42, 30, 21, 41, 9, 50, 14, 22, 34, 19, 44, 5];3278370;3278370.0;gibbs
1;[23, 0, 26, 0, 0, 0, 0, 30, 7, 0, 21, 0, 0, 0, 0, 8, 0, 1, 0, 23, 12, 37, 0, 7, 3, 36, 39, 0, 0, 45, 8, 0, 0, 40, 43, 0, 2, 0, 24, 24, 4, 0, 5, 11, 47, 10, 46, 25, 0, 0, 42, 9, 6, 17, 33, 22, 34, 16, 0, 11];2807840;2807840.0;gibbs
1;[0, 18, 38, 0, 0, 1, 9, 5, 42, 8, 7, 0, 40, 0, 11, 6, 29, 2, 41, 13, 20, 31, 0, 42, 41, 39, 23, 0, 0, 16, 32, 6, 0, 15, 33, 43, 10, 0, 0, 16, 4, 35, 30, 28, 47, 46, 36, 21, 25, 12, 50, 49, 13, 17, 14, 3, 34, 19, 44, 28];3348029;3348029.0;gibbs
1;[0, 4, 31, 0, 0, 23, 9, 5, 42, 33, 7, 0, 40, 0, 50, 18, 8, 1, 18, 13, 11, 45, 0, 42, 27, 2, 39, 0, 0, 9, 29, 43, 0, 14, 32, 0, 10, 0, 24, 24, 3, 19, 20, 28, 47, 46, 36, 17, 25, 30, 12, 49, 13, 21, 6, 22, 34, 16, 44, 28];3386328;3386328.0;gibbs
1;[0, 18, 38, 0, 0, 0, 9, 5, 42, 6, 7, 0, 8, 0, 50, 40, 15, 1, 41, 13, 11, 41, 10, 42, 48, 36, 39, 0, 0, 35, 9, 31, 0, 43, 29, 0, 46, 0, 2, 6, 4, 14, 12, 20, 47, 24, 23, 17, 25, 28, 30, 49, 13, 21, 33, 3, 19, 16, 34, 20];3383909;3383909.0;gibbs
1;[0, 8, 18, 0, 0, 0, 9, 5, 11, 6, 7, 0, 15, 42, 50, 38, 29, 1, 20, 13, 28, 41, 10, 0, 48, 0, 2, 46, 0, 35, 9, 40, 0, 43, 31, 26, 36, 0, 0, 6, 4, 14, 0, 11, 47, 39, 24, 17, 21, 12, 30, 49, 13, 25, 33, 3, 19, 16, 34, 0];3089843;3089843.0;gibbs
1;[0, 4, 40, 0, 0, 1, 6, 30, 42, 8, 7, 0, 43, 0, 50, 29, 31, 2, 26, 9, 0, 18, 10, 42, 26, 36, 24, 0, 0, 38, 6, 29, 0, 13, 45, 32, 39, 0, 23, 23, 14, 16, 5, 11, 0, 12, 46, 25, 20, 28, 21, 37, 9, 17, 34, 3, 33, 19, 44, 11];3180789;3180789.0;gibbs
1;[0, 18, 38, 0, 0, 1, 6, 5, 42, 8, 7, 0, 40, 0, 11, 16, 29, 2, 41, 9, 20, 31, 0, 42, 41, 36, 23, 0, 0, 16, 32, 49, 0, 15, 33, 43, 10, 0, 24, 36, 4, 35, 30, 28, 47, 46, 39, 21, 25, 12, 50, 37, 13, 17, 14, 3, 34, 19, 44, 28];3423044;3423044.0;gibbs
1;[0, 40, 18, 0, 0, 0, 9, 5, 42, 8, 7, 0, 15, 0, 50, 38, 29, 1, 32, 13, 11, 41, 10, 42, 48, 0, 2, 46, 0, 35, 9, 6, 0, 43, 31, 26, 36, 0, 0, 6, 4, 14, 12, 20, 47, 39, 23, 0, 25, 28, 30, 24, 13, 21, 33, 3, 34, 16, 19, 20];3227611;3227611.0;gibbs
1;[0, 8, 26, 0, 0, 23, 9, 5, 11, 6, 7, 0, 13, 0, 42, 16, 29, 1, 4, 14, 20, 31, 0, 21, 27, 36, 39, 0, 0, 15, 9, 18, 0, 40, 45, 43, 10, 0, 24, 36, 3, 32, 30, 0, 47, 46, 2, 28, 25, 12, 50, 37, 14, 17, 34, 22, 33, 44, 19, 21];3217736;3217736.0;gibbs
1;[23, 0, 26, 0, 0, 0, 0, 30, 0, 0, 7, 0, 0, 0, 21, 8, 0, 1, 0, 23, 12, 37, 0, 0, 0, 36, 39, 0, 0, 45, 8, 0, 0, 40, 43, 0, 2, 0, 24, 24, 4, 0, 5, 11, 47, 10, 46, 25, 0, 0, 42, 50, 6, 17, 33, 22, 9, 16, 0, 11];2748894;2748894.0;gibbs
1;[0, 4, 22, 0, 0, 0, 6, 30, 12, 16, 7, 0, 8, 0, 0, 5, 26, 21, 45, 25, 11, 45, 0, 12, 3, 23, 39, 25, 0, 6, 34, 31, 0, 0, 40, 15, 10, 0, 24, 24, 49, 44, 20, 5, 47, 36, 46, 0, 42, 0, 50, 37, 0, 17, 33, 43, 9, 1, 2, 28];3027012;3027012.0;gibbs
1;[39, 0, 26, 0, 0, 0, 0, 0, 12, 34, 0, 0, 40, 0, 42, 18, 24, 0, 0, 39, 0, 31, 0, 12, 0, 0, 0, 0, 0, 49, 8, 37, 0, 0, 0, 0, 0, 0, 0, 33, 3, 0, 0, 0, 47, 0, 0, 25, 50, 30, 7, 0, 5, 21, 1, 11, 2, 6, 36, 11];1707712;1707712.0;gibbs
1;[0, 18, 40, 0, 0, 0, 9, 5, 42, 8, 7, 0, 15, 0, 50, 38, 29, 1, 32, 13, 11, 41, 10, 42, 48, 2, 23, 0, 0, 35, 9, 6, 0, 43, 31, 26, 36, 0, 24, 6, 4, 14, 12, 20, 47, 46, 39, 17, 25, 28, 30, 49, 0, 21, 33, 3, 19, 16, 34, 20];3385233;3385233.0;gibbs
1;[0, 4, 22, 0, 0, 0, 6, 30, 12, 16, 7, 0, 0, 0, 0, 5, 26, 21, 45, 25, 11, 45, 0, 25, 3, 23, 39, 12, 0, 6, 34, 31, 0, 15, 40, 0, 10, 0, 24, 24, 49, 44, 20, 5, 47, 0, 46, 42, 0, 0, 50, 37, 0, 17, 33, 43, 9, 1, 2, 28];2898867;2898867.0;gibbs
1;[0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 7, 0, 0, 0, 21, 5, 26, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 25, 0, 45, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47, 23, 39, 0, 0, 0, 42, 0, 0, 17, 30, 37, 24, 1, 9, 11];1632122;1632122.0;gibbs
1;[0, 8, 26, 0, 0, 23, 9, 5, 11, 33, 7, 0, 6, 0, 42, 13, 29, 1, 4, 14, 20, 31, 0, 21, 27, 36, 39, 0, 0, 15, 13, 18, 0, 40, 45, 43, 10, 0, 24, 24, 3, 32, 12, 11, 47, 46, 2, 28, 25, 30, 50, 37, 14, 17, 16, 9, 34, 44, 19, 21];3423044;3423044.0;gibbs
1;[39, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 42, 0, 31, 0, 0, 39, 0, 0, 0, 12, 0, 0, 0, 0, 0, 49, 33, 37, 0, 0, 0, 0, 0, 0, 0, 33, 3, 0, 0, 0, 47, 0, 0, 25, 0, 30, 7, 40, 5, 21, 1, 11, 2, 6, 36, 11];1512582;1512582.0;gibbs
1;[0, 4, 22, 0, 0, 23, 6, 30, 5, 9, 7, 0, 15, 0, 11, 45, 40, 1, 0, 13, 0, 43, 0, 21, 3, 0, 39, 20, 0, 45, 6, 0, 0, 8, 37, 29, 10, 0, 24, 9, 27, 0, 28, 5, 47, 36, 2, 17, 0, 0, 42, 0, 13, 25, 33, 16, 0, 0, 34, 50];2829833;2829833.0;gibbs
1;[0, 4, 31, 0, 0, 23, 6, 30, 5, 9, 7, 0, 15, 0, 11, 45, 40, 1, 0, 13, 12, 43, 0, 21, 49, 42, 39, 20, 0, 49, 6, 0, 0, 8, 37, 29, 10, 0, 24, 42, 27, 0, 28, 5, 47, 36, 2, 17, 0, 0, 50, 0, 13, 25, 33, 16, 0, 0, 0, 21];3032564;3032564.0;gibbs
1;[0, 0, 26, 0, 0, 23, 0, 30, 0, 0, 7, 0, 0, 0, 21, 8, 0, 1, 0, 0, 12, 37, 0, 0, 0, 36, 39, 0, 0, 45, 0, 8, 0, 0, 40, 43, 2, 0, 24, 24, 4, 0, 5, 11, 47, 10, 46, 25, 0, 0, 42, 0, 0, 17, 33, 0, 34, 6, 0, 0];2546317;2546317.0;gibbs
1;[0, 0, 22, 0, 0, 23, 42, 0, 7, 34, 21, 0, 0, 0, 0, 45, 26, 1, 18, 5, 0, 9, 0, 11, 40, 20, 39, 42, 0, 45, 0, 7, 28, 8, 0, 33, 10, 0, 24, 20, 31, 29, 30, 5, 47, 36, 46, 50, 25, 0, 0, 15, 0, 17, 6, 3, 2, 44, 12, 11];2746980;2746980.0;gibbs
1;[0, 4, 22, 0, 0, 0, 6, 30, 5, 0, 7, 0, 0, 0, 0, 45, 0, 1, 0, 0, 0, 0, 0, 21, 0, 0, 39, 0, 0, 45, 6, 0, 0, 0, 37, 40, 0, 0, 24, 24, 27, 0, 12, 5, 47, 36, 2, 17, 0, 0, 42, 33, 8, 25, 23, 16, 11, 20, 34, 28];2412988;2412988.0;gibbs
1;[0, 3, 40, 0, 0, 23, 34, 5, 11, 0, 7, 0, 15, 0, 21, 33, 31, 1, 45, 0, 0, 45, 0, 25, 0, 36, 24, 0, 0, 33, 34, 37, 0, 0, 0, 8, 10, 0, 2, 36, 29, 0, 12, 11, 47, 46, 39, 17, 0, 30, 42, 43, 32, 50, 9, 6, 20, 16, 28, 25];2956151;2956151.0;initial
1;[0, 4, 22, 0, 0, 23, 6, 30, 5, 9, 7, 0, 15, 0, 11, 45, 40, 1, 43, 13, 12, 43, 0, 21, 3, 42, 39, 20, 0, 45, 6, 0, 0, 8, 37, 29, 10, 0, 24, 20, 27, 0, 28, 5, 47, 36, 2, 17, 0, 0, 50, 18, 33, 25, 14, 16, 19, 34, 44, 21];3199271;3199271.0;gibbs
1;[0, 4, 15, 0, 0, 1, 33, 5, 7, 6, 21, 0, 40, 0, 30, 0, 35, 2, 33, 9, 11, 37, 0, 7, 22, 39, 24, 0, 0, 22, 16, 31, 0, 26, 49, 43, 36, 0, 23, 16, 34, 8, 20, 28, 47, 10, 46, 42, 25, 12, 50, 18, 9, 17, 0, 3, 13, 44, 0, 28];3322409;3322409.0;initial
1;[0, 4, 0, 0, 0, 0, 6, 30, 5, 0, 7, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 45, 6, 0, 0, 36, 0, 40, 0, 0, 24, 0, 27, 0, 12, 5, 47, 1, 2, 17, 0, 0, 0, 33, 8, 25, 23, 16, 11, 20, 34, 42];2033726;2033726.0;gibbs
1;[0, 0, 45, 0, 0, 0, 0, 5, 0, 0, 30, 0, 40, 0, 11, 0, 0, 20, 0, 0, 0, 1, 0, 42, 0, 7, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 50, 0, 28, 17, 0, 36, 0, 0, 0, 28];1426111;1426111.0;gibbs
1;[0, 4, 0, 0, 0, 0, 6, 30, 5, 0, 7, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 9, 0, 21, 0, 0, 39, 0, 0, 45, 6, 0, 0, 36, 37, 40, 0, 0, 24, 0, 27, 0, 12, 5, 47, 1, 2, 17, 0, 0, 0, 33, 8, 25, 23, 16, 11, 20, 34, 42];2140240;2140240.0;gibbs
1;[0, 8, 15, 0, 0, 0, 33, 0, 12, 6, 7, 0, 29, 0, 30, 45, 35, 1, 4, 9, 5, 0, 0, 12, 37, 39, 24, 0, 0, 22, 16, 31, 0, 40, 49, 43, 36, 0, 23, 23, 34, 32, 0, 11, 47, 10, 46, 42, 25, 0, 50, 18, 9, 17, 0, 3, 2, 20, 0, 11];2797483;2797483.0;initial
1;[0, 0, 26, 0, 0, 0, 23, 30, 0, 0, 7, 0, 0, 0, 21, 8, 0, 1, 37, 0, 0, 37, 0, 0, 0, 36, 39, 23, 0, 45, 0, 8, 0, 40, 43, 0, 2, 0, 24, 24, 4, 0, 5, 11, 47, 10, 46, 25, 0, 0, 42, 0, 0, 17, 33, 22, 34, 6, 44, 0];2439677;2439677.0;gibbs
1;[0, 4, 31, 0, 0, 23, 9, 5, 11, 33, 7, 0, 40, 0, 42, 18, 49, 1, 13, 13, 0, 38, 0, 50, 8, 2, 39, 0, 0, 14, 29, 43, 0, 15, 32, 26, 10, 30, 24, 24, 41, 19, 12, 11, 47, 46, 36, 20, 25, 28, 21, 48, 8, 17, 6, 22, 34, 16, 44, 50];3352603;3352603.0;gibbs
1;[0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 12, 0, 0, 0, 0, 0, 24, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 15, 0, 0, 47, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0];967143;967143.0;gibbs
1;[0, 4, 31, 0, 0, 23, 9, 5, 42, 33, 7, 0, 40, 0, 50, 18, 49, 1, 0, 13, 11, 45, 0, 42, 27, 2, 39, 0, 0, 43, 8, 29, 0, 14, 38, 26, 10, 0, 24, 24, 3, 19, 20, 28, 47, 46, 36, 17, 25, 30, 12, 41, 9, 21, 6, 22, 34, 16, 44, 28];3419098;3419098.0;gibbs
1;[0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 25, 0, 42, 37, 0, 17, 0, 6, 50, 33, 0, 0];1051191;1051191.0;gibbs
1;[0, 18, 38, 0, 0, 0, 9, 5, 42, 8, 7, 0, 40, 0, 50, 0, 29, 1, 41, 13, 11, 15, 10, 42, 48, 36, 39, 0, 0, 35, 9, 6, 0, 43, 26, 32, 46, 0, 2, 2, 31, 14, 12, 20, 47, 24, 23, 17, 25, 28, 30, 49, 13, 21, 33, 3, 19, 16, 34, 20];3405608;3405608.0;gibbs
1;[0, 0, 45, 0, 0, 1, 34, 30, 5, 8, 7, 0, 44, 0, 21, 18, 15, 2, 4, 9, 11, 0, 0, 5, 4, 36, 39, 0, 0, 18, 29, 26, 0, 40, 13, 43, 23, 0, 24, 24, 0, 32, 12, 20, 47, 10, 46, 25, 42, 28, 50, 37, 9, 17, 33, 34, 0, 6, 14, 20];3353680;3353680.0;initial
1;[0, 4, 31, 0, 0, 23, 6, 30, 5, 9, 7, 0, 15, 0, 11, 45, 40, 1, 0, 13, 12, 43, 0, 21, 3, 0, 39, 20, 0, 45, 6, 0, 0, 8, 37, 29, 10, 0, 24, 9, 27, 0, 28, 5, 47, 36, 2, 17, 0, 0, 42, 49, 13, 25, 0, 16, 0, 0, 34, 50];2968647;2968647.0;gibbs
1;[0, 0, 45, 0, 0, 1, 34, 30, 5, 0, 7, 0, 44, 0, 21, 8, 15, 2, 4, 9, 11, 0, 0, 5, 4, 36, 39, 0, 0, 29, 8, 26, 0, 40, 0, 43, 23, 0, 24, 24, 0, 0, 12, 20, 47, 10, 46, 25, 42, 28, 50, 0, 9, 17, 33, 34, 0, 6, 13, 20];3239715;3239715.0;initial
1;[23, 0, 26, 0, 0, 0, 9, 30, 7, 13, 21, 0, 0, 0, 42, 8, 15, 1, 18, 23, 12, 37, 0, 7, 29, 36, 39, 0, 0, 45, 9, 8, 0, 40, 0, 34, 2, 0, 24, 24, 4, 32, 5, 11, 47, 10, 46, 25, 0, 0, 50, 14, 6, 17, 33, 22, 44, 16, 0, 11];3086274;3086274.0;gibbs
1;[0, 8, 26, 0, 0, 23, 9, 5, 11, 33, 7, 0, 6, 0, 42, 13, 29, 1, 4, 14, 20, 31, 0, 21, 27, 36, 39, 0, 0, 15, 9, 18, 0, 40, 45, 43, 10, 0, 24, 33, 3, 32, 12, 11, 47, 46, 2, 28, 25, 30, 50, 37, 14, 17, 16, 22, 34, 0, 19, 21];3365604;3365604.0;gibbs
1;[0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 9, 5, 26, 0, 11, 0, 20, 0, 42, 0, 45, 7, 0, 28, 0, 0, 0, 0, 0, 0, 20, 0, 0, 30, 0, 47, 10, 0, 50, 25, 0, 0, 0, 0, 21, 1, 3, 2, 24, 46, 12];1699903;1699903.0;gibbs
1;[0, 4, 31, 0, 0, 23, 9, 5, 11, 33, 7, 0, 40, 0, 0, 18, 49, 1, 13, 13, 20, 38, 2, 42, 8, 36, 39, 0, 0, 14, 29, 43, 0, 15, 32, 26, 10, 0, 24, 24, 41, 19, 28, 11, 47, 46, 12, 17, 25, 30, 50, 48, 9, 21, 6, 22, 34, 16, 0, 42];3343290;3343290.0;gibbs
1;[0, 0, 22, 0, 0, 23, 42, 12, 7, 34, 21, 0, 44, 0, 0, 45, 26, 1, 18, 5, 0, 37, 0, 11, 0, 20, 39, 42, 0, 45, 0, 0, 28, 0, 0, 33, 10, 0, 24, 20, 31, 8, 30, 5, 47, 36, 46, 50, 25, 0, 0, 15, 0, 17, 6, 3, 2, 16, 0, 11];2841820;2841820.0;gibbs
1;[0, 0, 22, 0, 0, 23, 42, 0, 7, 34, 21, 0, 0, 0, 0, 45, 26, 1, 0, 5, 12, 37, 0, 11, 40, 20, 39, 42, 0, 45, 0, 0, 28, 8, 15, 33, 10, 0, 24, 20, 31, 29, 30, 5, 47, 36, 46, 50, 25, 0, 0, 18, 0, 17, 6, 3, 2, 44, 9, 11];2920806;2920806.0;gibbs
1;[0, 4, 40, 0, 0, 1, 6, 0, 42, 8, 0, 0, 43, 0, 50, 0, 31, 2, 26, 9, 12, 18, 10, 42, 26, 36, 17, 39, 0, 38, 6, 29, 0, 13, 45, 32, 24, 0, 23, 23, 14, 16, 30, 5, 47, 11, 46, 7, 20, 28, 21, 37, 9, 25, 34, 3, 33, 19, 44, 5];3256885;3256885.0;gibbs
1;[0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 26, 0, 0, 26, 0, 5, 0, 0, 12, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 42, 0, 7, 17, 0, 37, 50, 0, 0, 7];964944;964944.0;gibbs
1;[7, 18, 38, 0, 0, 0, 9, 5, 7, 33, 21, 0, 40, 42, 50, 41, 8, 1, 41, 13, 11, 31, 10, 0, 49, 36, 39, 2, 0, 14, 29, 43, 0, 37, 32, 26, 46, 0, 0, 14, 48, 19, 20, 28, 47, 23, 24, 17, 25, 0, 30, 15, 9, 12, 6, 22, 34, 16, 44, 0];3292752;3292752.0;gibbs
1;[0, 4, 22, 0, 0, 23, 6, 30, 5, 9, 7, 0, 15, 0, 21, 45, 40, 1, 0, 13, 0, 43, 0, 0, 3, 0, 39, 0, 0, 45, 6, 18, 0, 0, 37, 0, 10, 0, 0, 0, 27, 0, 12, 5, 47, 36, 2, 17, 0, 0, 42, 0, 8, 25, 33, 16, 11, 20, 34, 50];2661633;2661633.0;gibbs
1;[5, 6, 45, 11, 0, 1, 20, 30, 28, 8, 7, 0, 15, 0, 42, 29, 37, 2, 18, 9, 12, 38, 0, 20, 18, 36, 39, 28, 0, 33, 16, 29, 0, 40, 31, 32, 10, 0, 23, 0, 13, 35, 0, 0, 47, 46, 24, 25, 50, 0, 21, 41, 9, 17, 14, 22, 34, 19, 44, 5];3074800;3074800.0;gibbs
1;[0, 18, 38, 0, 0, 0, 9, 5, 42, 8, 11, 0, 29, 0, 0, 41, 32, 1, 48, 13, 20, 45, 10, 42, 48, 36, 7, 46, 0, 22, 9, 40, 0, 34, 6, 43, 39, 0, 2, 2, 4, 15, 30, 28, 47, 24, 23, 17, 25, 12, 21, 31, 13, 50, 14, 3, 44, 33, 19, 28];3380838;3380838.0;initial
1;[0, 18, 38, 0, 0, 23, 9, 5, 11, 33, 7, 0, 13, 0, 0, 41, 8, 1, 14, 14, 20, 40, 0, 42, 19, 2, 39, 0, 0, 31, 29, 43, 0, 37, 32, 26, 10, 12, 24, 24, 3, 15, 30, 11, 47, 46, 36, 17, 25, 28, 21, 49, 9, 50, 6, 22, 34, 16, 44, 42];3415053;3415053.0;gibbs
1;[0, 4, 40, 0, 0, 1, 6, 12, 7, 8, 21, 0, 43, 5, 42, 11, 31, 2, 20, 9, 28, 18, 0, 7, 26, 36, 24, 0, 0, 38, 6, 29, 0, 13, 45, 32, 10, 0, 23, 23, 14, 16, 0, 11, 47, 39, 46, 17, 25, 0, 30, 37, 9, 0, 34, 3, 33, 19, 44, 20];3088831;3088831.0;gibbs
1;[0, 4, 22, 0, 0, 23, 6, 30, 5, 9, 7, 0, 0, 0, 12, 37, 40, 1, 0, 13, 0, 43, 0, 21, 3, 2, 39, 0, 0, 45, 6, 0, 0, 0, 10, 0, 46, 0, 24, 2, 27, 0, 11, 5, 47, 36, 0, 0, 0, 0, 42, 0, 8, 25, 33, 37, 20, 16, 34, 50];2675760;2675760.0;gibbs
1;[0, 9, 8, 0, 0, 5, 6, 11, 20, 33, 30, 0, 13, 17, 42, 16, 14, 1, 28, 36, 0, 31, 0, 0, 4, 39, 2, 0, 0, 29, 6, 19, 0, 40, 45, 43, 10, 0, 24, 24, 3, 32, 12, 20, 47, 46, 23, 7, 21, 0, 50, 37, 15, 25, 0, 22, 34, 44, 0, 28];3084537;3084537.0;gibbs
1;[0, 4, 22, 0, 0, 0, 6, 30, 5, 9, 7, 0, 15, 0, 11, 45, 40, 1, 43, 13, 12, 43, 0, 21, 3, 42, 39, 20, 0, 18, 6, 38, 0, 8, 37, 29, 10, 0, 24, 42, 27, 0, 28, 5, 47, 36, 2, 17, 0, 0, 50, 0, 33, 25, 14, 16, 19, 34, 44, 21];3135153;3135153.0;gibbs
1;[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 39, 0, 0, 0, 0, 6, 0, 0, 0, 0, 40, 0, 0, 0, 39, 0, 0, 0, 0, 47, 0, 0, 17, 0, 0, 0, 33, 12, 25, 1, 26, 11, 20, 9, 0];1086580;1086580.0;gibbs
1;[0, 4, 40, 0, 0, 1, 6, 0, 42, 8, 7, 0, 43, 0, 50, 29, 31, 2, 26, 9, 0, 18, 10, 42, 26, 36, 24, 0, 0, 38, 6, 0, 0, 13, 45, 32, 39, 12, 23, 23, 14, 16, 30, 5, 47, 11, 46, 17, 21, 20, 28, 37, 9, 25, 34, 3, 33, 19, 44, 5];3245520;3245520.0;gibbs
