__offset_x;kk;objective;x;_objective;_source
1;3;433476;[1, 1, 1, 1, 2, 2, 2, 1, 1, 3, 1, 1, 2, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3];433476.0;initial
1;3;424482;[1, 2, 2, 2, 1, 1, 1, 2, 3, 3, 1, 1, 2, 2, 3, 2, 1, 1, 3, 3, 1, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3];424482.0;initial
1;3;295252;[1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3];295252.0;gibbs
1;3;177560;[1, 2, 2, 3, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 3, 3, 1, 3, 3];177560.0;gibbs
1;3;308084;[1, 1, 2, 1, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2];308084.0;gibbs
1;3;229106;[1, 1, 1, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2];229106.0;initial
1;3;468084;[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 3, 1, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3];468084.0;gibbs
1;3;507562;[1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3];507562.0;gibbs
1;3;268092;[1, 1, 2, 1, 2, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 3, 3];268092.0;initial
1;3;236542;[1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 3, 2, 2, 3, 1, 2, 1, 3, 1, 3, 2, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3];236542.0;initial
1;3;257570;[1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 3, 1, 3, 3, 2, 2, 3, 2, 3, 3, 1, 3, 3, 3];257570.0;gibbs
1;3;458326;[1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 3, 1, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3];458326.0;gibbs
1;3;393734;[1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2, 2, 3, 2, 1, 2, 2, 2];393734.0;gibbs
1;3;102182;[1, 2, 1, 1, 2, 1, 2, 1, 3, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 3, 3, 2, 3, 2, 3, 3, 3, 1, 2, 3, 1, 3, 1, 3];102182.0;gibbs
1;3;112182;[1, 2, 1, 3, 1, 3, 3, 1, 2, 1, 1, 3, 3, 2, 3, 3, 1, 1, 3, 1, 2, 3, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 3, 2];112182.0;initial
1;3;395260;[1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 3, 1, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3];395260.0;initial
1;3;368340;[1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 3, 3];368340.0;initial
1;3;186018;[1, 1, 1, 1, 2, 2, 2, 3, 1, 3, 1, 2, 2, 2, 1, 3, 2, 1, 3, 1, 1, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3];186018.0;gibbs
1;3;512320;[1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1, 3, 1, 3, 3, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3];512320.0;gibbs
1;3;434870;[1, 1, 1, 1, 2, 2, 2, 1, 3, 1, 1, 3, 1, 1, 3, 3, 2, 1, 3, 1, 2, 1, 2, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 3];434870.0;gibbs
1;3;356022;[1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 3, 1, 1, 3, 2, 1, 1, 1, 3, 3, 1, 1, 3, 2, 3, 3, 1, 3, 3];356022.0;gibbs
1;3;36540;[1, 2, 3, 3, 1, 3, 3, 3, 2, 3, 1, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 2, 2, 3, 2, 1, 1, 3, 2, 2, 2, 1, 2];36540.0;gibbs
1;3;486792;[1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 3, 3, 1, 1, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3];486792.0;gibbs
1;3;349226;[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 3, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2];349226.0;gibbs
1;3;-8850;[1, 2, 3, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 3, 1, 3, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 3];-8850.0;gibbs
1;3;353328;[1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 2, 1, 1, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2];353328.0;initial
1;3;46786;[1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 3, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 1, 2, 1, 3];46786.0;gibbs
1;3;360006;[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2];360006.0;initial
1;3;-33200;[1, 1, 2, 3, 1, 2, 3, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2];-33200.0;gibbs
1;3;251794;[1, 2, 3, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 3, 2, 2, 1, 1, 1, 2, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3];251794.0;initial
1;3;264098;[1, 1, 2, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 3, 3, 1, 1, 2, 1, 2, 1, 2, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3];264098.0;initial
1;3;489102;[1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 1, 1, 2, 3, 3, 3, 1, 1, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3];489102.0;gibbs
1;3;78076;[1, 1, 1, 2, 1, 3, 3, 1, 2, 2, 1, 1, 3, 1, 2, 3, 3, 1, 3, 2, 1, 2, 1, 3, 2, 2, 3, 1, 3, 2, 2, 1, 2, 3];78076.0;gibbs
1;3;473334;[1, 1, 2, 1, 2, 1, 1, 2, 3, 2, 1, 1, 1, 2, 3, 3, 1, 1, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];473334.0;gibbs
1;3;303466;[1, 2, 2, 2, 1, 3, 1, 2, 1, 3, 1, 1, 2, 3, 3, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 3, 3];303466.0;initial
1;3;528720;[1, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];528720.0;initial
1;3;318074;[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1];318074.0;gibbs
1;3;135764;[1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3, 2, 3, 2, 3, 3, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2];135764.0;gibbs
1;3;465260;[1, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 1, 2, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3];465260.0;gibbs
1;3;462560;[1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 1, 1, 1, 1, 3, 3, 2, 1, 2, 2, 3, 1, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3];462560.0;gibbs
1;3;483080;[1, 2, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3];483080.0;gibbs
1;3;206018;[1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 3, 3];206018.0;gibbs
1;3;518090;[1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2];518090.0;initial
1;3;188840;[1, 1, 2, 1, 1, 1, 2, 2, 3, 2, 1, 2, 1, 2, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2];188840.0;initial
1;3;132946;[1, 2, 3, 2, 1, 1, 1, 3, 2, 3, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 1, 3, 3, 3, 2, 1, 2, 3, 2, 2, 3, 1, 2];132946.0;initial
1;3;248328;[1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 1, 1, 2, 2, 3, 2, 2, 1, 2, 2, 3, 1, 3, 2, 3, 3, 2, 2, 2, 3, 1, 3, 3, 2];248328.0;gibbs
1;3;161018;[1, 1, 2, 1, 3, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 2, 1, 3, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2];161018.0;initial
1;3;490646;[1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 1, 1, 2, 2, 3, 3, 1, 1, 1, 1, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3];490646.0;initial
1;3;191794;[1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 3, 3, 1, 3, 1, 3, 1, 3, 3, 3, 2, 2, 3, 3, 2, 2, 3, 1, 3];191794.0;gibbs
1;3;111410;[1, 2, 2, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 1, 3, 1, 2, 1, 2, 3, 2, 2, 1, 3, 3, 2, 2, 2, 2, 3];111410.0;gibbs
1;3;290764;[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2];290764.0;gibbs
1;3;324996;[1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 3, 2, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 1, 3, 3, 3];324996.0;gibbs
1;3;379992;[1, 1, 2, 2, 1, 1, 1, 2, 3, 1, 1, 3, 1, 2, 3, 3, 1, 1, 3, 1, 2, 1, 2, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 3];379992.0;gibbs
1;3;468088;[1, 2, 3, 2, 1, 1, 1, 2, 3, 3, 1, 1, 2, 2, 3, 3, 1, 1, 3, 1, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];468088.0;initial
1;3;494874;[1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 3, 1, 3, 2, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3];494874.0;initial
1;3;216916;[1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3];216916.0;gibbs
1;3;513724;[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2];513724.0;initial
1;3;244488;[1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 2, 3, 2, 1, 3, 1, 3, 1, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 1];244488.0;gibbs
1;3;299610;[1, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 3, 2, 3, 1, 3, 3, 2, 1, 3, 2, 2, 3, 3, 3];299610.0;initial
1;3;521412;[1, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];521412.0;initial
1;3;412944;[1, 1, 1, 1, 2, 3, 3, 3, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];412944.0;gibbs
1;3;104630;[1, 2, 2, 1, 3, 1, 3, 2, 3, 3, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 1, 3, 2, 1, 3, 2, 2, 1];104630.0;gibbs
1;3;468332;[1, 2, 2, 2, 1, 2, 1, 2, 3, 2, 1, 1, 1, 2, 2, 3, 1, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];468332.0;gibbs
1;3;331410;[1, 2, 1, 3, 1, 1, 3, 3, 2, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2];331410.0;gibbs
1;3;334996;[1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];334996.0;gibbs
1;3;546546;[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];546546.0;initial
1;3;216796;[1, 1, 1, 1, 2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 3, 2, 3, 3];216796.0;gibbs
1;3;57942;[1, 1, 2, 1, 3, 3, 1, 1, 3, 3, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 2];57942.0;initial
1;3;488082;[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 3];488082.0;gibbs
1;3;406794;[1, 1, 1, 1, 2, 2, 3, 1, 3, 2, 1, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];406794.0;gibbs
1;3;468336;[1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3];468336.0;initial
